,incident_date,borough,zip_code
263,2015-03-16,Manhattan,10003.0
264,2015-03-16,Brooklyn,11234.0
265,2015-03-17,Manhattan,
266,2015-03-17,Queens,11109.0
267,2015-03-17,Bronx,10472.0
268,2015-03-18,Brooklyn,11207.0
269,2015-03-18,Queens,11374.0
270,2015-03-18,Manhattan,10014.0
271,2015-03-18,Manhattan,
272,2015-03-18,Bronx,
273,2015-03-18,Staten Island,10314.0
274,2015-03-19,Bronx,10472.0
275,2015-03-21,Bronx,10452.0
276,2015-03-21,Manhattan,10016.0
277,2015-03-21,Brooklyn,11217.0
278,2015-03-21,Brooklyn,11204.0
279,2015-03-22,Staten Island,10310.0
280,2015-03-22,Queens,11411.0
281,2015-03-22,Queens,
282,2015-03-22,Brooklyn,11208.0
283,2015-03-22,Brooklyn,11223.0
284,2015-03-22,Queens,11364.0
285,2015-03-22,Queens,11419.0
286,2015-03-23,Manhattan,10021.0
287,2015-03-23,Queens,11373.0
288,2015-03-23,Queens,11373.0
289,2015-03-24,Queens,11363.0
290,2015-03-24,Manhattan,
291,2015-03-24,Brooklyn,11231.0
292,2015-03-24,Queens,11385.0
293,2015-03-25,Manhattan,10029.0
294,2015-03-25,Brooklyn,11027.0
295,2015-03-25,Staten Island,10312.0
296,2015-03-25,Staten Island,10301.0
297,2015-03-25,Staten Island,10310.0
298,2015-03-26,Bronx,
299,2015-03-26,Queens,11106.0
300,2015-03-26,Manhattan,10029.0
301,2015-03-26,Queens,11365.0
302,2015-03-26,Queens,11434.0
303,2015-03-26,Queens,11436.0
304,2015-03-27,Brooklyn,11214.0
305,2015-03-28,Brooklyn,11234.0
306,2015-03-29,Queens,11373.0
307,2015-03-29,Staten Island,
308,2015-03-29,Brooklyn,11224.0
309,2015-03-30,Bronx,10465.0
310,2015-03-31,Brooklyn,
311,2015-03-31,Queens,11422.0
312,2015-03-31,Manhattan,10065.0
313,2015-03-31,Staten Island,10304.0
314,2015-03-31,Manhattan,10013.0
315,2015-03-31,Manhattan,10065.0
316,2015-03-31,Bronx,10451.0
317,2015-03-31,Brooklyn,
318,2015-03-31,Bronx,10461.0
319,2015-03-31,Manhattan,10027.0
320,2015-04-01,Manhattan,10022.0
321,2015-04-01,Manhattan,
322,2015-04-01,Manhattan,10002.0
323,2015-04-01,Bronx,10466.0
324,2015-04-01,Brooklyn,11201.0
325,2015-04-02,Staten Island,10312.0
326,2015-04-02,Queens,11365.0
327,2015-04-02,Staten Island,
