,incident_date,breed,age,gender,spay_neuter_status,borough,zip_code
178,2015-02-23,maltese,5.0,M,True,Queens,
179,2015-02-23,collie crossbreed,6.0,M,False,Manhattan,10023
180,2015-02-24,pit bull,1.0,F,False,Brooklyn,11215
181,2015-02-24,mixed/other,7.0,M,True,Queens,11423
182,2015-02-24,shih tzu,3.0,M,True,Queens,
183,2015-02-24,rottweiler,1.0,U,False,Bronx,
184,2015-02-24,bichon frise,1.0,M,False,Bronx,10458
185,2015-02-25,pointer,2.0,M,True,Queens,11417
186,2015-02-26,pit bull,2.0,M,False,Brooklyn,11216
187,2015-02-26,pit bull,1.0,M,False,Brooklyn,11226
188,2015-02-27,pit bull,4.0,M,True,Bronx,
189,2015-02-27,"mastiff, bull",4.0,F,True,Bronx,10463
190,2015-02-27,black mouth cur,4.0,M,False,Manhattan,10029
191,2015-02-27,american pit bull terrier/pit bull,3.0,M,False,Brooklyn,11206
192,2015-02-27,akita,7.0,F,False,Manhattan,10027
193,2015-02-27,"bull dog, english",3.0,M,True,Bronx,10461
194,2015-02-28,shiba inu,1.0,U,False,Queens,
195,2015-02-28,american pit bull mix / pit bull mix,2.0,M,False,Brooklyn,11228
196,2015-02-28,boston terrier,8.0,M,True,Queens,11369
197,2015-02-28,weimaraner,11.0,M,True,Brooklyn,11230
198,2015-02-28,"welsh corgi, pembroke",9.0,M,False,Staten Island,10314
199,2015-02-28,havanese/ poodle mix,1.0,F,True,Queens,11358
200,2015-02-28,siberian husky,1.0,M,False,Queens,11374
201,2015-02-28,american staffordshire terrier,3.0,M,False,Bronx,10456
202,2015-03-01,shih tzu,2.0,M,False,Bronx,
203,2015-03-01,lab mix,0.0,M,False,Manhattan,10016
204,2015-03-01,"poodle, toy",14.0,F,True,Queens,11385
205,2015-03-01,american pit bull mix / pit bull mix,6.0,F,True,Brooklyn,11225
206,2015-03-02,rhodesian ridgeback/ terrier,8.0,M,True,Queens,11385
207,2015-03-02,mixed/other,6.0,M,False,Bronx,
208,2015-03-02,bull dog,1.0,M,False,Staten Island,10305
209,2015-03-03,staffordshire mix,3.0,M,False,Manhattan,10038
210,2015-03-03,staffordshire mix,3.0,M,False,Manhattan,10038
211,2015-03-03,staffordshire mix,3.0,M,False,Manhattan,10038
212,2015-03-03,staffordshire mix,3.0,M,False,Manhattan,10038
213,2015-03-03,"poodle, toy",7.0,F,True,Staten Island,10310
214,2015-03-03,pit bull,4.0,F,True,Queens,
215,2015-03-05,pomeranian,6.0,M,True,Queens,11385
216,2015-03-05,boston terrier,1.0,M,True,Queens,11354
217,2015-03-05,beagle,4.0,M,True,Queens,11421
218,2015-03-05,bichon frise,2.0,M,False,Manhattan,10025
219,2015-03-06,cocker spaniel crossbreed,4.0,M,False,Queens,11102
220,2015-03-06,cairn terrier,1.0,F,True,Manhattan,10065
221,2015-03-06,labrador retriever,2.0,M,False,Manhattan,10029
222,2015-03-06,yorkshire terrier crossbreed,2.0,F,False,Bronx,
223,2015-03-06,mutt,1.0,M,True,Manhattan,10001
224,2015-03-07,rottweiler,3.0,M,False,Queens,
225,2015-03-07,cocker spaniel,8.0,M,False,Staten Island,10306
226,2015-03-07,pit bull,2.0,M,True,Queens,11691
227,2015-03-07,"bull dog, english",2.0,M,True,Brooklyn,11201
228,2015-03-07,bulldog/sharpei,11.0,M,True,Brooklyn,11233
229,2015-03-07,rottweiler,3.0,M,False,Queens,
230,2015-03-07,rottweiler,3.0,M,False,Queens,
231,2015-03-08,labrador retriever crossbreed,2.0,M,True,Staten Island,10314
232,2015-03-08,,4.0,M,True,Manhattan,10036
233,2015-03-08,english cocker spaniel,1.0,M,False,Bronx,10473
234,2015-03-08,shih tzu,4.0,M,False,Brooklyn,11234
235,2015-03-09,american pit bull mix / pit bull mix,1.0,F,False,Manhattan,
236,2015-03-11,chow/golden retriever,7.0,M,True,Manhattan,10065
237,2015-03-11,pit bull,1.0,M,False,Bronx,10474
238,2015-03-12,pit bull,5.0,F,True,Manhattan,10010
239,2015-03-12,boston terrier,5.0,M,True,Manhattan,
240,2015-03-12,jack russ,0.0,M,False,Brooklyn,11208
