,incident_date,breed,age,gender,spay_neuter_status
302,2015-03-26,pit bull,3.0,M,False
303,2015-03-26,pit bull,2.0,F,True
304,2015-03-27,boxer/rhodesian ridgeback x,5.0,F,False
305,2015-03-28,"dachshund, long haired miniature",4.0,M,True
306,2015-03-29,"poodle, miniature",4.0,M,True
307,2015-03-29,doberman pinscher,4.0,M,True
308,2015-03-29,pit bull,1.0,M,False
309,2015-03-30,"bull dog, french",4.0,F,True
310,2015-03-31,pitbull/lab retriever,5.0,F,True
311,2015-03-31,"poodle, miniature",4.0,M,False
312,2015-03-31,dandie dinmont terrier,1.0,M,False
313,2015-03-31,labrador retriever,4.0,M,False
314,2015-03-31,"dachshund, long haired",2.0,M,True
315,2015-03-31,chihuahua,3.0,M,False
316,2015-03-31,pit bull,0.0,F,False
317,2015-03-31,cocker spaniel,3.0,F,False
318,2015-03-31,lhasa apso,4.0,F,True
319,2015-03-31,yorkshire terrier,4.0,M,False
320,2015-04-01,bichon frise,1.0,F,True
321,2015-04-01,american pit bull mix / pit bull mix,1.0,F,False
322,2015-04-01,lhasa apso,7.0,M,True
323,2015-04-01,chihuahua mix,8.0,M,True
324,2015-04-01,bull terrier,1.0,M,False
325,2015-04-02,shiba inu,6.0,M,True
326,2015-04-02,beagle,11.0,M,True
327,2015-04-02,brussels griffon,1.0,F,False
328,2015-04-02,"poodle, standard",1.0,M,False
329,2015-04-02,mini pinscher/ chihuahua,2.0,M,False
330,2015-04-02,american staffordshire terrier,3.0,M,False
331,2015-04-02,american pit bull terrier/pit bull,2.0,M,False
332,2015-04-03,yorkshire terrier,12.0,F,True
333,2015-04-03,yorkshire terrier,6.0,M,True
334,2015-04-03,boxer/hound/pitbull,6.0,F,True
335,2015-04-04,chihuahua,5.0,M,False
336,2015-04-04,australian shepherd,5.0,M,True
337,2015-04-04,maltese - poodle x,3.0,M,False
338,2015-04-04,labrador retriever,1.0,F,True
339,2015-04-04,pit bull,2.0,M,False
340,2015-04-04,german shepherd,2.0,M,True
341,2015-04-04,shiba inu,1.0,M,True
342,2015-04-05,jack russ,6.0,M,False
343,2015-04-05,shih tzu,6.0,M,True
344,2015-04-05,siberian husky,15.0,F,False
345,2015-04-05,pit bull,4.0,F,False
346,2015-04-05,labrador retriever crossbreed,3.0,M,False
347,2015-04-05,yorkshire terrier,5.0,F,True
348,2015-04-05,shepherd mix,3.0,M,False
349,2015-04-06,yorkshire terrier,4.0,M,True
350,2015-04-06,yorkshire terrier,6.0,F,False
351,2015-04-06,"poodle, standard",2.0,M,False
352,2015-04-06,chihuahua crossbreed,0.0,M,False
353,2015-04-06,american pit bull terrier/pit bull,4.0,F,True
354,2015-04-06,bull dog,0.0,M,False
355,2015-04-06,shepard mix,2.0,M,True
356,2015-04-06,pit bull,1.0,M,False
357,2015-04-07,belgian malinois,3.0,M,True
358,2015-04-08,catahoula leopard dog,1.0,M,True
359,2015-04-08,golden retriever,7.0,F,True
360,2015-04-08,chihuahua,5.0,M,True
361,2015-04-08,husky/cattle dog mix,4.0,M,True
362,2015-04-08,labrador retriever crossbreed,7.0,M,True
363,2015-04-08,husky/cattle mix,4.0,M,True
364,2015-04-09,shih tzu,2.0,F,False
365,2015-04-10,akita,3.0,M,True
366,2015-04-10,pit bull,0.0,M,True
367,2015-04-10,cocker spaniel crossbreed,5.0,M,True
368,2015-04-10,american pit bull terrier/pit bull,0.0,M,False
369,2015-04-10,"bull dog, english",0.0,M,False
370,2015-04-10,labrador retriever crossbreed,7.0,F,True
371,2015-04-10,american pit bull terrier/pit bull,3.0,M,True
372,2015-04-10,west high white terrier,2.0,M,False
373,2015-04-10,chihuahua,5.0,M,True
374,2015-04-10,maltese,4.0,M,False
375,2015-04-10,american pit bull terrier/pit bull,5.0,M,False
376,2015-04-11,pit bull,8.0,M,False
377,2015-04-11,maltese,13.0,M,True
378,2015-04-11,american pit bull terrier/pit bull,3.0,F,True
379,2015-04-12,german shepherd,11.0,F,True
380,2015-04-12,maltese,2.0,M,False
381,2015-04-12,shih tzu,2.0,M,False
382,2015-04-12,pit bull,3.0,F,True
383,2015-04-12,pit bull,3.0,M,False
384,2015-04-12,chihuahua,9.0,F,True
385,2015-04-12,pit bull,3.0,M,False
386,2015-04-12,jack russ,1.0,M,False
387,2015-04-12,pit bull,11.0,M,False
388,2015-04-13,pit bull,4.0,M,True
389,2015-04-13,pit bull,9.0,M,False
390,2015-04-13,pit bull,2.0,M,False
391,2015-04-13,maltese,14.0,M,False
392,2015-04-13,chihuahua,0.0,M,False
393,2015-04-14,terrier mix,1.0,M,True
394,2015-04-14,,2.0,M,False
395,2015-04-14,american pit bull mix / pit bull mix,2.0,F,True
396,2015-04-14,beagle crossbreed,19.0,M,False
397,2015-04-14,yorkshire terrier crossbreed,6.0,M,True
398,2015-04-15,maltese/poodle,3.0,M,False
399,2015-04-15,yorkshire terrier,12.0,F,True
400,2015-04-16,shih tzu,1.0,M,True
401,2015-04-16,"bull dog, english",2.0,F,True
402,2015-04-16,labrador retriever crossbreed,2.0,F,True
403,2015-04-16,rottweiler,1.0,M,True
404,2015-04-16,american pit bull terrier/pit bull,1.0,F,False
405,2015-04-17,labrador/cocker spaniel,7.0,M,False
406,2015-04-17,beagle/jack russ,4.0,M,True
407,2015-04-17,american pit bull terrier/pit bull,3.0,M,False
408,2015-04-17,border terrier,3.0,M,True
409,2015-04-17,terrier,1.0,M,True
410,2015-04-17,labrador retriever,12.0,M,False
411,2015-04-17,shih tzu,9.0,M,False
