,incident_date,breed,borough
259,2015-03-16,maltese,Brooklyn
260,2015-03-16,labrador retriever,Queens
261,2015-03-16,yorkshire terrier,Brooklyn
262,2015-03-16,puggle,Manhattan
263,2015-03-16,american bulldog,Manhattan
264,2015-03-16,american pit bull mix / pit bull mix,Brooklyn
265,2015-03-17,pit bull,Manhattan
266,2015-03-17,bull dog,Queens
267,2015-03-17,american pit bull terrier/pit bull,Bronx
268,2015-03-18,american pit bull terrier/pit bull,Brooklyn
269,2015-03-18,siberian husky,Queens
270,2015-03-18,havanese,Manhattan
271,2015-03-18,maltese,Manhattan
272,2015-03-18,american pit bull terrier/pit bull,Bronx
273,2015-03-18,chihuahua,Staten Island
274,2015-03-19,pit bull,Bronx
275,2015-03-21,chihuahua shorthair/ jack russell terrier,Bronx
276,2015-03-21,dachshund,Manhattan
277,2015-03-21,"bull dog, french",Brooklyn
278,2015-03-21,doberman pinscher,Brooklyn
279,2015-03-22,"mastiff, bull",Staten Island
280,2015-03-22,american pit bull terrier/pit bull,Queens
281,2015-03-22,american pit bull terrier/pit bull,Queens
282,2015-03-22,shih tzu,Brooklyn
283,2015-03-22,shih tzu,Brooklyn
284,2015-03-22,akita,Queens
285,2015-03-22,german shepherd,Queens
286,2015-03-23,norwich terrier,Manhattan
287,2015-03-23,chihuahua,Queens
288,2015-03-23,cotton de tulear,Queens
289,2015-03-24,mixed/other,Queens
290,2015-03-24,shih tzu,Manhattan
291,2015-03-24,boxer x w/ pit bull,Brooklyn
292,2015-03-24,"poodle, standard",Queens
293,2015-03-25,maltese,Manhattan
294,2015-03-25,terrier,Brooklyn
295,2015-03-25,cocker spaniel,Staten Island
296,2015-03-25,american bull,Staten Island
297,2015-03-25,toy yorkie,Staten Island
298,2015-03-26,pit bull,Bronx
299,2015-03-26,siberian husky,Queens
300,2015-03-26,pit bull,Manhattan
301,2015-03-26,"jindo dog,",Queens
302,2015-03-26,pit bull,Queens
303,2015-03-26,pit bull,Queens
304,2015-03-27,boxer/rhodesian ridgeback x,Brooklyn
305,2015-03-28,"dachshund, long haired miniature",Brooklyn
306,2015-03-29,"poodle, miniature",Queens
307,2015-03-29,doberman pinscher,Staten Island
308,2015-03-29,pit bull,Brooklyn
309,2015-03-30,"bull dog, french",Bronx
310,2015-03-31,pitbull/lab retriever,Brooklyn
311,2015-03-31,"poodle, miniature",Queens
312,2015-03-31,dandie dinmont terrier,Manhattan
313,2015-03-31,labrador retriever,Staten Island
314,2015-03-31,"dachshund, long haired",Manhattan
315,2015-03-31,chihuahua,Manhattan
316,2015-03-31,pit bull,Bronx
317,2015-03-31,cocker spaniel,Brooklyn
318,2015-03-31,lhasa apso,Bronx
319,2015-03-31,yorkshire terrier,Manhattan
320,2015-04-01,bichon frise,Manhattan
321,2015-04-01,american pit bull mix / pit bull mix,Manhattan
322,2015-04-01,lhasa apso,Manhattan
323,2015-04-01,chihuahua mix,Bronx
324,2015-04-01,bull terrier,Brooklyn
325,2015-04-02,shiba inu,Staten Island
326,2015-04-02,beagle,Queens
327,2015-04-02,brussels griffon,Staten Island
328,2015-04-02,"poodle, standard",Queens
329,2015-04-02,mini pinscher/ chihuahua,Bronx
330,2015-04-02,american staffordshire terrier,Queens
